0.000	0.65437
0.033	0.65437
0.066	0.65437
0.099	0.65437
0.132	0.65437
0.165	0.65437
0.198	0.65437
0.231	0.65437
0.264	0.65437
0.297	0.65437
0.330	0.65437
0.363	0.65437
0.396	0.65437
0.429	0.64854
0.462	0.63204
0.495	0.60388
0.528	0.56311
0.561	0.51845
0.594	0.46117
0.630	0.39417
0.660	0.32136
0.693	0.23592
0.726	0.14175
0.759	0.03981
0.792	0.07670
0.825	0.13883
0.858	0.20388
0.891	0.24757
0.924	0.28544
0.957	0.31456
0.990	0.33592
1.023	0.34466
1.056	0.34466
1.089	0.33689
1.122	0.31262
1.155	0.28447
1.188	0.24175
1.221	0.18058
1.254	0.11553
1.287	0.03689
1.320	-0.01262
1.353	0.04951
1.386	0.09709
1.419	0.13398
1.452	0.15922
1.485	0.17184
1.518	0.18058
1.551	0.17476
1.584	0.15534
1.617	0.12621
1.650	0.08447
1.683	0.03301
1.716	-0.04078
1.749	-0.00777
1.782	0.03592
1.815	0.06214
1.848	0.07282
1.881	0.08058
1.914	0.06990
1.947	0.04854
1.980	0.02136
2.013	-0.01748
2.046	0.01262
2.079	0.03107
2.112	0.04272
2.145	0.04175
2.178	0.03204
2.211	0.00874
